table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico: April 1, 2020 to July 1, 2023",,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,
".St. Joseph, MO-KS Metro Area","121,471","121,643","120,784","119,692","118,475"
".St. Louis, MO-IL Metro Area","2,820,285","2,819,212","2,812,587","2,800,245","2,796,999"
".Salem, OR Metro Area","433,341","434,306","437,224","436,312","436,546"
".Salinas, CA Metro Area","439,035","438,322","437,158","432,884","430,723"
".Salisbury, MD Metro Area","128,203","128,126","128,660","129,094","129,710"
".Salt Lake City-Murray, UT Metro Area","1,257,939","1,260,338","1,263,087","1,266,524","1,267,864"
".San Angelo, TX Metro Area","121,519","121,705","120,765","120,447","120,606"
".San Antonio-New Braunfels, TX Metro Area","2,558,115","2,568,526","2,605,100","2,655,928","2,703,999"
".San Diego-Chula Vista-Carlsbad, CA Metro Area","3,298,648","3,295,298","3,274,432","3,277,176","3,269,973"
".Sandusky, OH Metro Area","115,981","115,777","115,052","114,482","113,838"
".San Francisco-Oakland-Fremont, CA Metro Area","4,748,982","4,740,838","4,618,350","4,578,135","4,566,961"
"..Oakland-Fremont-Berkeley, CA Metro Division","2,848,279","2,846,535","2,807,988","2,785,278","2,777,213"
"..San Francisco-San Mateo-Redwood City, CA Metro Division","1,638,382","1,632,997","1,551,084","1,536,703","1,535,341"
"..San Rafael, CA Metro Division","262,321","261,306","259,278","256,154","254,407"
".San Jose-Sunnyvale-Santa Clara, CA Metro Area","2,000,489","1,995,698","1,951,882","1,945,978","1,945,767"
".San Luis Obispo-Paso Robles, CA Metro Area","282,443","281,884","279,464","282,046","281,639"
".Santa Cruz-Watsonville, CA Metro Area","270,870","270,474","260,475","264,240","261,547"
".Santa Fe, NM Metro Area","154,821","155,043","155,400","155,761","155,956"
".Santa Maria-Santa Barbara, CA Metro Area","448,220","448,424","437,521","443,915","441,257"
".Santa Rosa-Petaluma, CA Metro Area","488,850","488,282","484,519","482,669","481,812"
".Savannah, GA Metro Area","404,803","405,301","409,428","418,277","424,935"
".Scranton--Wilkes-Barre, PA Metro Area","567,603","566,788","568,091","568,270","569,413"
".Seattle-Tacoma-Bellevue, WA Metro Area","4,018,797","4,027,804","4,016,479","4,032,242","4,044,837"
"..Everett, WA Metro Division","827,953","829,933","836,097","840,452","844,761"
"..Seattle-Bellevue-Kent, WA Metro Division","2,269,697","2,274,282","2,252,980","2,265,311","2,271,380"
"..Tacoma-Lakewood, WA Metro Division","921,147","923,589","927,402","926,479","928,696"
".Sebastian-Vero Beach-West Vero Corridor, FL Metro Area","159,791","160,446","163,869","167,267","169,795"
".Sebring, FL Metro Area","101,239","101,349","103,279","105,649","107,614"
".Sheboygan, WI Metro Area","118,032","118,053","117,687","117,661","117,752"
".Sherman-Denison, TX Metro Area","135,543","136,099","139,563","143,198","146,907"
".Shreveport-Bossier City, LA Metro Area","393,409","392,511","388,930","384,943","383,295"
".Sierra Vista-Douglas, AZ Metro Area","125,445","125,527","126,119","125,487","124,640"
".Sioux City, IA-NE-SD Metro Area","144,344","144,326","143,907","143,737","144,402"
".Sioux Falls, SD-MN Metro Area","286,400","287,364","291,978","299,079","304,555"
".Slidell-Mandeville-Covington, LA Metro Area","264,571","265,000","270,147","273,237","275,583"
".South Bend-Mishawaka, IN-MI Metro Area","324,513","324,241","323,813","323,759","324,490"
".Spartanburg, SC Metro Area","355,232","356,560","362,407","372,687","383,327"
".Spokane-Spokane Valley, WA Metro Area","585,790","587,766","593,129","598,023","600,292"
".Springfield, IL Metro Area","208,636","208,414","207,538","206,223","205,445"
".Springfield, MA Metro Area","465,839","464,311","462,862","460,758","460,291"
".Springfield, MO Metro Area","475,433","476,371","481,693","486,931","491,053"
".Springfield, OH Metro Area","135,971","135,887","135,608","134,732","134,610"
".State College, PA Metro Area","158,163","157,979","157,984","157,533","157,795"
".Staunton-Stuarts Draft, VA Metro Area","125,434","125,665","126,059","126,678","127,344"
".Stockton-Lodi, CA Metro Area","779,230","780,617","788,354","794,293","800,965"
".Sumter, SC Metro Area","105,548","105,476","104,854","103,936","104,165"
".Syracuse, NY Metro Area","662,068","659,556","657,253","655,021","652,956"
".Tallahassee, FL Metro Area","384,301","385,658","388,370","390,913","392,645"
".Tampa-St. Petersburg-Clearwater, FL Metro Area","3,175,291","3,187,828","3,230,074","3,291,341","3,342,963"
"..St. Petersburg-Clearwater-Largo, FL Metro Division","959,111","959,793","959,583","961,792","961,596"
"..Tampa, FL Metro Division","2,216,180","2,228,035","2,270,491","2,329,549","2,381,367"
".Terre Haute, IN Metro Area","168,874","168,778","168,722","168,596","168,787"
".Texarkana, TX-AR Metro Area","147,524","147,485","146,749","146,185","145,907"
".Toledo, OH Metro Area","606,241","605,761","602,291","600,519","600,141"
".Topeka, KS Metro Area","233,139","232,903","232,817","231,897","232,322"
".Traverse City, MI Metro Area","153,456","153,654","154,827","155,752","156,371"
".Trenton-Princeton, NJ Metro Area","387,328","386,466","382,172","380,779","381,671"
".Tucson, AZ Metro Area","1,043,435","1,045,175","1,048,914","1,057,476","1,063,162"
".Tulsa, OK Metro Area","1,015,338","1,017,350","1,025,813","1,034,048","1,044,757"
".Tuscaloosa, AL Metro Area","268,686","272,988","276,628","277,490","278,290"
".Twin Falls, ID Metro Area","114,291","114,642","117,132","119,065","120,635"
".Tyler, TX Metro Area","233,484","234,199","237,182","241,995","245,209"
".Urban Honolulu, HI Metro Area","1,016,507","1,012,399","1,004,163","994,828","989,408"
".Utica-Rome, NY Metro Area","292,257","291,119","289,643","287,942","287,039"
".Valdosta, GA Metro Area","148,135","148,338","148,941","149,646","151,118"
".Vallejo, CA Metro Area","453,491","452,723","450,653","448,885","449,218"
".Victoria, TX Metro Area","98,338","98,331","98,029","98,194","98,808"
".Vineland, NJ Metro Area","154,160","153,719","152,083","151,347","152,326"
".Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","1,780,062","1,781,712","1,785,531","1,785,390","1,787,169"
".Visalia, CA Metro Area","473,116","473,914","477,176","477,884","479,468"
".Waco, TX Metro Area","295,788","296,405","299,333","301,825","304,865"
".Walla Walla, WA Metro Area","62,585","62,623","62,211","61,853","61,568"
".Warner Robins, GA Metro Area","191,628","192,392","195,473","198,261","200,779"
".Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6,278,594","6,260,311","6,258,549","6,265,891","6,304,975"
"..Arlington-Alexandria-Reston, VA-WV Metro Division","3,121,435","3,123,676","3,127,294","3,137,244","3,154,735"
"..Frederick-Gaithersburg-Bethesda, MD Metro Division","1,333,775","1,333,690","1,336,840","1,340,607","1,351,865"
"..Washington, DC-MD Metro Division","1,823,384","1,802,945","1,794,415","1,788,040","1,798,375"
".Waterbury-Shelton, CT Metro Area","450,435","449,285","452,281","453,590","456,128"
".Waterloo-Cedar Falls, IA Metro Area","168,459","168,388","168,052","167,661","168,162"
".Watertown-Fort Drum, NY Metro Area","116,711","116,069","116,902","115,461","114,787"
".Wausau, WI Metro Area","138,026","138,078","137,755","137,955","138,612"
".Weirton-Steubenville, WV-OH Metro Area","116,892","116,692","115,748","114,221","113,544"
".Wenatchee-East Wenatchee, WA Metro Area","122,014","122,267","123,615","124,261","124,795"
".Wheeling, WV-OH Metro Area","139,520","139,127","137,909","136,625","135,517"
".Wichita, KS Metro Area","647,607","648,526","648,514","649,687","652,939"
".Wichita Falls, TX Metro Area","148,136","148,433","149,086","149,568","149,947"
".Wildwood-The Villages, FL Metro Area","129,745","130,290","134,870","144,767","151,565"
".Williamsport, PA Metro Area","114,189","114,125","113,561","113,034","112,724"
".Wilmington, NC Metro Area","422,601","425,133","437,882","454,390","467,337"
".Winchester, VA-WV Metro Area","142,636","142,984","145,411","146,126","147,260"
".Winston-Salem, NC Metro Area","675,986","677,134","682,646","688,799","695,630"
".Worcester, MA Metro Area","862,116","859,669","862,224","862,873","866,866"
".Yakima, WA Metro Area","256,738","256,733","256,719","257,019","256,643"
".York-Hanover, PA Metro Area","456,441","456,720","459,183","461,049","464,640"
".Youngstown-Warren, OH Metro Area","430,676","429,690","428,101","426,648","425,969"
".Yuba City, CA Metro Area","181,214","181,437","182,379","182,922","183,670"
".Yuma, AZ Metro Area","205,002","205,659","207,284","208,874","213,221"
,,,,,
Puerto Rico,"3,285,874","3,281,557","3,262,693","3,220,113","3,205,691"
.In Metropolitan Statistical Area,"3,078,488","3,074,547","3,057,341","3,017,916","3,004,942"
".Aguadilla, PR Metro Area","253,768","253,636","253,128","250,786","250,435"
".Arecibo, PR Metro Area","182,705","182,521","181,933","179,959","179,470"
".Guayama, PR Metro Area","68,442","68,228","67,033","66,042","65,190"
".Mayagüez, PR Metro Area","213,831","213,386","212,003","209,131","207,877"
".Ponce, PR Metro Area","278,477","277,825","274,190","269,197","266,237"
".San Juan-Bayamón-Caguas, PR Metro Area","2,081,265","2,078,951","2,069,054","2,042,801","2,035,733"
"Vintage 2023 data products are associated with Data Management System projects P-6000042, P-7501659, and P-7527355. The U.S. Census Bureau reviewed these data products for unauthorized disclosure of confidential information and approved the disclosure avoidance practices applied to this release (CBDRB-FY24-0085).  ",,,,,
"Note: The estimates are developed from a base that integrates the 2020 Census, Vintage 2020 estimates, and (for the U.S. only) 2020 Demographic Analysis estimates. For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. The Office of Management and Budget’s statistical area delineations for metropolitan, micropolitan, and combined statistical areas, as well as metropolitan divisions, are those issued by that agency in July 2023. All other geographic boundaries for the 2023 population estimates series are as of January 1, 2023.",,,,,
Suggested Citation:,,,,,
"Annual Estimates of the Resident Population for Metropolitan Statistical Areas in the United States and Puerto Rico: April 1, 2020 to July 1, 2023 (CBSA-MET-EST2023-POP)",,,,,
"Source: U.S. Census Bureau, Population Division",,,,,
Release Date: March 2024,,,,,
